,Srn,Charge_Id,Charge_Holder_Name,Date_Of_Creation,Date_Of_Modification,Date_Of_Satisfaction,Amount,Cin,Company_Name,Runtime,Address,Charge_Holder_Clean_Name
0,AA4544723,100712219,IDBI TRUSTEESHIP SERVICES LIMITED,2022-12-07,,2023-08-30,750000000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Bldg., Ground Floor, 17, R.Kamani Marg,   Ballard Estate,    Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
1,AA2610198,10056533,IDBI TRUSTEESHIP SERVICES LIMITED,2007-06-22,2023-05-17,,170157200000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
2,AA4689052,100245781,IDBI TRUSTEESHIP SERVICES LIMITED,2019-02-16,2022-08-10,2023-08-30,145550000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R. Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
3,AA4675269,100379002,IDBI TRUSTEESHIP SERVICES LIMITED,2020-09-15,2023-03-02,2023-08-30,182500000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
4,AA4679033,100299483,IDBI TRUSTEESHIP SERVICES LIMITED,2019-09-03,2023-03-02,2023-08-30,186950000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
5,AA1082859,100336293,IDBI TRUSTEESHIP SERVICES LIMITED,2020-03-12,2022-11-02,,77500000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Bldg., Ground Floor, 17, R.Kamani Marg,   Ballard Estate,    Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
6,AA4704876,10624434,IDBI TRUSTEESHIP SERVICES LIMITED,2016-02-05,2021-11-02,2023-08-30,52800000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R.Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
7,AA4671309,100449937,IDBI TRUSTEESHIP SERVICES LIMITED,2021-05-21,2021-12-06,2023-08-30,255000000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building., Ground Floor, 17, R. Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
8,AA4670579,100517609,IDBI TRUSTEESHIP SERVICES LIMITED,2021-11-23,2023-03-02,2023-08-30,749152000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"GR FLR, UNIVERSAL INSURANCE BLDG, SIR PHIROZSHAH MEHTA RD., FORT   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
9,Y10517664,90389594,THE INDUSTRIAL FINANCE CORPORATION OF INDIA LTD.,1993-06-09,1993-07-08,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANK OF BARODA BUILDING 16 PARLIAMENT STREET      Delhi  India,INDUSTRIAL FINANCE CORPORATION OF INDIA
10,Y10511662,90383716,KARNATAKA STATE FINANCIAL CORPORATION,1985-04-13,1983-11-07,1999-09-30,2500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Karnataka  India,KARNATAKA STATE FINANCIAL CORPORATION
11,Y10517702,90389632,BANK OF AMERICA,1995-08-22,,1999-09-30,110000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF AMERICA
12,Y10517521,90389451,CANARA BANK,1983-12-29,1983-03-01,1999-09-30,2500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,CANARA BANK
13,Y10517616,90389546,BANK OF AMERICA,1990-09-15,,1999-09-30,1500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,EXPRESS TOWERS NARIMAN POINT      Maharashtra  India,BANK OF AMERICA
14,Y10517644,90389574,ICICI BANK LTD.,1992-06-01,1992-09-04,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
15,Y10511709,90383763,SYNDICATE BANK,1988-03-29,,1999-09-30,650000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,LAMINGTON ROAD BRANCH       Goa  India,SYNDICATE BANK
16,Y10511738,90383792,BANK OF MAHARASHTRA,1990-04-24,,1999-09-30,6371000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,VILE PARLE BRANCH       Maharashtra  India,BANK OF MAHARASHTRA
17,Y10517505,90389435,PUNJAB NATIONAL BANK,1980-05-27,1995-03-09,1999-09-30,4000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,CUFFE PARADE       Maharashtra  India,PUNJAB NATIONAL BANK
18,Y10517515,90389445,ICICI BANK LTD.,1982-12-31,,1999-09-30,5000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
19,AA4700806,100046147,IDBI TRUSTEESHIP SERVICES LIMITED,2016-08-05,2020-06-02,2023-08-30,30000000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R. Kamani Marg, Ballard Estate      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
20,AA4698755,100084323,IDBI TRUSTEESHIP SERVICES LIMITED,2017-02-06,2022-09-12,2023-08-30,15250000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,Asian Building Ground Floor 17 R. Kamani Marg Ballard Estate   Town Hall (Mumbai) Mumbai Mumbai Maharashtra 400001 India,IDBI TRUSTEESHIP SERVICES
21,AA4697327,100210918,IDBI TRUSTEESHIP SERVICES LIMITED,2018-09-25,2021-01-25,2023-08-30,221880000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building., Ground Floor, 17, R. Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
22,AA4675953,100367089,IDBI TRUSTEESHIP SERVICES LIMITED,2020-08-05,,2023-08-30,36930000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R. Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
23,AA4706113,10485866,IDBI TRUSTEESHIP SERVICES LIMITED,2014-03-12,2019-11-21,2023-08-30,19850000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R.Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
24,AA4705695,10543564,IDBI TRUSTEESHIP SERVICES LIMITED,2014-12-24,2020-08-31,2023-08-30,18500000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,"Asian Building, Ground Floor, 17, R.Kamani Marg, Ballard Estate,      Maharashtra 400001 India",IDBI TRUSTEESHIP SERVICES
25,Y10511529,90383587,THE CANARA INDSUTRIAL BANKING SYNDICATE LTD.,1961-06-22,,1999-09-30,350000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANGALORE       Karnataka  India,CANARA INDSUTRIAL BANKING SYNDICATE
26,Y10511551,90383608,THE CANARA INDUSTRIAL BANKING SYNDICATE LTD.,1962-01-22,,1999-09-30,363032,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,53 GANDHINAGAR       Karnataka  India,CANARA INDUSTRIAL BANKING SYNDICATE
27,Y10511564,90383621,STATE BANK OF HYDERABAD,1991-04-19,1992-10-15,1999-09-30,500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,HUMNABAD BRANCH       Karnataka  India,STATE BANK OF HYDERABAD
28,Y10511650,90383704,THE SARASWAT CO- OP. BANK LTD.,1984-07-25,,1999-09-30,175000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,A.K. NAYAK MARG       Maharashtra  India,SARASWAT CO OP BANK
29,Y10517669,90389599,INDUSTRIAL DEVELOPMENT BANK OF INDIA,1993-08-16,,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,IDBI TOWER CUFFE PARADE COLOBA      Maharashtra  India,INDUSTRIAL DEVELOPMENT BANK OF INDIA
30,Y10517647,90389577,ORIENTAL BANK OF COMMERCE,1992-08-10,,1999-09-30,6747223,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. V.B. GANDHI MARG FORT      Maharashtra  India,ORIENTAL BANK OF COMMERCE
31,Y10517648,90389578,BANK OF BARODA,1992-10-23,1997-06-28,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BALLARD ESTATE       Maharashtra  India,BANK OF BARODA
32,Y10517650,90389580,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1992-12-17,1993-05-17,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
33,Y10517651,90389581,THE INDUSTRIAL CREDIT & INVESTMENT CORPORATION OF INDIA LTD.,1993-01-29,,1999-09-30,4008027,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,INDUSTRIAL CREDIT AND INVESTMENT CORPORATION OF INDIA
34,Y10517653,90389583,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1993-02-26,,1999-09-30,2228000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
35,Y10517659,90389589,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1993-03-26,,1999-09-30,50000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
36,Y10517660,90389590,THE UNIT TRUST OF INDIA,1993-04-16,1996-09-12,1999-09-30,25000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NEW MARINE LINES       Maharashtra  India,UNIT TRUST OF INDIA
37,Y10517663,90389593,SOCIETE GENERALE,1993-05-20,1993-09-24,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,MAKER CHAMBERS NARIMAN POINT      Maharashtra  India,SOCIETE GENERALE
38,Y10517665,90389595,STANDARD CHARTERED BANK,1993-06-24,,1999-09-30,2191002,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,FORT       Maharashtra  India,STANDARD CHARTERED BANK
39,Y10517666,90389596,THE ICICI BANK LTD.,1993-07-16,,1999-09-30,2200000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
40,Y10517667,90389597,INDUSTRIAL RECONSTRUCTION BANK,1993-07-24,,1999-09-30,60000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,19 NETAJI SUBHAS ROAD       West Bengal  India,INDUSTRIAL RECONSTRUCTION BANK
41,Y10517670,90389600,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1993-09-08,1993-12-31,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
42,Y10517677,90389607,CENTRAL BANK OF INDIA,1993-12-06,,1999-09-30,504320000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,51 M.G. ROAD FORT      Maharashtra  India,CENTRAL BANK OF INDIA
43,Y10517678,90389608,ORIENTAL BANK OF COMMERCE,1994-01-07,,1999-09-30,1702349,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
44,Y10517680,90389610,THE FEDERAL BANK LTD.,1994-01-19,,1999-09-30,40000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DADAR EAST       Maharashtra  India,FEDERAL BANK
45,Y10517682,90389612,BANK OF BAORDA,1994-02-01,,1999-09-30,15500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BAORDA
46,Y10517685,90389615,ORIENTAL BANK OF COMMERCE,1994-04-12,1995-08-21,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,1 DR. V.B. GANDHI MARG FORT      Maharashtra  India,ORIENTAL BANK OF COMMERCE
47,Y10517688,90389618,CREDIT LYONNAIS,1994-07-12,,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,SCINDIA HOUSE BALLARD ESTATE      Maharashtra  India,CREDIT LYONNAIS
48,Y10517689,90389619,BANK OF AMERICA,1994-09-01,,1999-09-30,67500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF AMERICA
49,Y10517690,90389620,STATE BANK OF TRAVANCORE,1994-09-05,,1999-09-30,50000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,125 M.G. ROAD FORT      Maharashtra  India,STATE BANK OF TRAVANCORE
50,Y10517694,90389624,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1994-10-31,1995-01-25,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
51,Y10517695,90389625,STATE BANK OF INDIA,1994-11-09,,1999-09-30,21344000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,JUSTICE G.N. VAIDYA MARG       Maharashtra  India,STATE BANK OF INDIA
52,Y10517696,90389626,ASIAN DEVELOPMENT BANK,1994-12-07,1995-08-28,1999-09-30,627700000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,150 MANDALUYONG METRO MANILS         Philippines,ASIAN DEVELOPMENT BANK
53,Y10517699,90389629,THE FEDERAL BANK LTD.,1995-03-13,,1999-09-30,67500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,SWAMY GYAN JIWANDAS MARG DADAR EAST      Maharashtra  India,FEDERAL BANK
54,Y10517706,90389636,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1996-01-16,1996-03-29,1999-09-30,200000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,6TH & TH FLOOR 22 STATION ROAD      Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
55,Y10517707,90389637,SIDBI LTD.,1996-03-15,1996-11-15,1999-09-30,150000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,10/10 MADAN MOHAN MALVIYA MARG       Uttar Pradesh  India,SIDBI
56,Y10517708,90389638,SIDBI BANK LTD.,1996-05-15,1996-12-31,1999-09-30,150000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,10/10 MADAN MOHAN MALVIYA MARG       Uttar Pradesh  India,SIDBI BANK
57,Y10517711,90389641,THE BANK OF NOVA SCOTIA,1996-09-29,,1999-09-30,200000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF NOVA SCOTIA
58,Y10517520,90389450,CANARA BANK,1983-12-03,,1999-09-30,2500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,REGENT CHAMBERS NARIMAN POINT      Maharashtra  India,CANARA BANK
59,Y10517522,90389452,BANK OF BARODA,1984-04-16,,1999-09-30,5000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BARODA
60,Y10517523,90389453,THE HONGKONG & SHANGHAI BANKING CORPORATION,1984-05-14,,1999-09-30,670000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,HONGKONG AND SHANGHAI BANKING CORPORATION
61,Y10517525,90389455,THE CHARTERED BANK,1984-07-30,,1999-09-30,5579800,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,23-25 M.G. ROAD       Maharashtra  India,CHARTERED BANK
62,Y10517526,90389456,STANDARD CHARTERED BANK,1984-09-05,1995-09-15,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,23-25 M.G. ROAD FORT      Maharashtra  India,STANDARD CHARTERED BANK
63,Y10517527,90389457,THE HONGKONG & SHANGHAI BANKING CORPORATION,1984-10-24,,1999-09-30,3603546,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,HONGKONG BANK BUILDING M.G. ROAD      Maharashtra  India,HONGKONG AND SHANGHAI BANKING CORPORATION
64,Y10517530,90389460,THE HONGKONG & SHANGHAI BANKING CORPORATION,1985-02-28,,1999-09-30,300000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,HONGKONG AND SHANGHAI BANKING CORPORATION
65,Y10517531,90389461,THE HONGKONG & SHANGHAI BANKING CORPORATION,1985-03-04,,1999-09-30,3030014,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,HONGKONG AND SHANGHAI BANKING CORPORATION
66,Y10517533,90389463,THE BRITISH BANK OF THE MIDDLE EAST,1985-03-30,,1999-09-30,3600000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,BRITISH BANK OF MIDDLE EAST
67,Y10517534,90389464,THE HONGKONG & SHANGHAI BANKING CORPORATION,1985-07-17,,1999-09-30,5000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,HONGKONG AND SHANGHAI BANKING CORPORATION
68,Y10517535,90389465,BANK OF CREDIT & COMMERCE INTERNATIONAL LTD.,1985-11-16,,1999-09-30,3160000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF CREDIT AND COMMERCE INTERNATIONAL
69,Y10517538,90389468,BANK OF CREDIT & COMMERCE INTERNATIONAL LTD.,1985-12-07,,1999-09-30,5000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,MAKER CHAMBERS- II NARIMAN POINT      Maharashtra  India,BANK OF CREDIT AND COMMERCE INTERNATIONAL
70,Y10517541,90389471,STANDARD CHARTERED BANK,1986-03-05,1991-09-06,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,23/25 M.G. ROAD       Maharashtra  India,STANDARD CHARTERED BANK
71,Y10517543,90389473,BANK OF AMERICA,1986-05-26,,1999-09-30,9614000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,EXPRESS TOWER NARIMAN POINT      Maharashtra  India,BANK OF AMERICA
72,Y10517544,90389474,CANARA BANK,1986-06-18,,1999-09-30,1500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,CANARA BANK
73,Y10517545,90389475,CANARA BANK,1986-07-22,1987-12-04,1999-09-30,40000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,CANARA BANK
74,Y10517546,90389476,ALGEMENE BANK NEDERLAND N.V.,1986-07-25,,1999-09-30,2040156,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGEMENE BANK NEDERLAND NV
75,Y10517547,90389477,BANK OF BARODA,1986-08-26,,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BALLARD ESTATE FORT      Maharashtra  India,BANK OF BARODA
76,Y10517551,90389481,AMERICAN EXPRESS INTERNATIONAL BANKING CORPORATION,1987-03-19,,1999-09-30,5000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. D.N. ROAD       Maharashtra  India,AMERICAN EXPRESS INTERNATIONAL BANKING CORPORATION
77,Y10517553,90389483,BANK OF BARODA,1987-06-05,1991-04-12,1999-09-30,15000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BALLARD ESTATE       Maharashtra  India,BANK OF BARODA
78,Y10517556,90389486,ORIENTAL BANK OF COMMERCE,1987-12-02,,1999-09-30,13500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
79,Y10517558,90389488,BANK OF BARODA,1987-12-12,,1999-09-30,10000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BARODA
80,Y10517559,90389489,ORIENTAL BANK OF COMMERCE,1988-01-08,,1999-09-30,3457000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
81,Y10517561,90389491,ALGEMENE BANK NEDERLAND N.V.,1988-02-02,,1999-09-30,1030000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN POINT       Maharashtra  India,ALGEMENE BANK NEDERLAND NV
82,Y10517564,90389494,STANDARD CHARTERED BANK,1988-03-03,1992-06-03,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,23/25 M.G. ROAD       Maharashtra  India,STANDARD CHARTERED BANK
83,Y10517566,90389496,ORIENTAL BANK OF COMMERCE,1988-03-08,,1999-09-30,1750876,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
84,Y10517573,90389503,ALGENENE BANK NIDERLANDS N.V.,1988-08-29,,1999-09-30,825000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGENENE BANK NIDERLANDS NV
85,Y10517574,90389504,ALGEMENE BANK NIDERLAND N.V.,1988-09-06,,1999-09-30,4618500,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGEMENE BANK NIDERLAND NV
86,Y10517577,90389507,OMAN INTERNATIONAL BANK LTD.,1988-10-31,,1999-09-30,5000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,OMAN INTERNATIONAL BANK
